Ключ;Название;Приоритет;Статус;Обновлено;Создано;Описание;Метки
CRFLOMNIG-2384;Доступ к командному стенду;Средний;Выполнено;29.10.2025;29.10.2025;"<p>Нет доступа к командному стенду:</p>
<p>&nbsp;</p>
<p>namespaces ""sk1-ppcf01-ppcf-ns-st6"" is forbidden: User ""Dmitriy A. Starostin (DAStarostin)"" cannot get resource ""namespaces"" in API group """" in the namespace ""sk1-ppcf01-ppcf-ns-st6""<br /><br />Кому выдать: vtb4106226 и vtb4106373</p>";devops_support,devops_консультация
CRFLOMNIL-2543;Не выполняется BuildRelease;Критический;Закрыто;29.10.2025;29.10.2025;<p>не выполняется BuildRelease<br />https://sfera.inno.local/orchestration3/dashboard/CASF/project/5db7dc38-d932-4e83-81ee-4e08bf1e3e32</p>;devops_support,devops_консультация,devops_инструменты
CRFLOMNII-2642;Не удается протянуть мигратор с ДСО на ИФТ;Высокий;Выполнено;29.10.2025;29.10.2025;"<p>Добрый день!</p>
<p>&nbsp;</p>
<p>Подскажите пожалуйста, каким образом можно протянуть на ИФТ версию ppcf-migrator и ppcf-migrator-fe.&nbsp; Джоба BuildRelease не подходит, там нужно указывать кодовую релизную ветку. А сборка осуществляется командой мигратора из репозитория ppln_pptm... Сама сборка уже собрана, и есть в репо ppcf-docker-snapshot на ДСО - версия ppcf-migrator - 1.4.1, версия ppcf-migrator-fe - 0.1.15. Попробовал через трансфер на CDL протянуть, там она не появилась, подскажите какой джобой ее протянуть можно?</p>
<p>&nbsp;</p>
<p>&nbsp;</p>";devops_support,devops_консультация,devops_cloud_настройка
CRFLOMNII-2648;Проблема при постановке ppcf-migr-processor на ПСИ;Критический;Закрыто;04.11.2025;31.10.2025;<p>Ошибка при стейджинге</p>;devops_support,devops_консультация
CRFLOMNIH-5207;2200 Пайплайн проверки PR падает с ошибкой для qualityGateSCA;Средний;Выполнено;31.10.2025;29.10.2025;<p>https://sfera.inno.local/orchestration3/dashboard/PPEA/project/c7e7f4e5-3f35-4fe7-983a-9f642a7cc1e0/builds/1668784</p>;devops_консультация,devops_support,devops_инструменты
CRFLOMNIA-2689;Создать топики на ИФТ_Оркестратор внутренних процессов по инструкциям;Средний;Закрыто;31.10.2025;28.10.2025;"<p>ИС: 1830</p>
<p>Контур: ИФТ</p>
<p>Топики:</p>
<p>Имя топика: pub.CRPR.holiday-status.v1<br />Права доступа: READ</p>
<p>CN=APD74.21.11-3711-kafka-if-client-sopo &nbsp;- ИФТ</p>
<p>&nbsp;</p>
<p>Прописать CN.</p>
<ol>
<li>&nbsp;</li>
</ol>
<p>&nbsp;</p>";devops_support,devops_cloud_настройка
CRFLOMNIL-2537;Ошибка в джобе build;Высокий;Выполнено;28.10.2025;28.10.2025;<p>в джобе<br />https://sfera.inno.local/orchestration7/dashboard/PPCF/project/db66a51e-2a94-4dca-8230-79f47a1cf568<br />для дева почему-то начали собираться образы с 4-ех значиными номерами например (0.20.2.0), раньше всегда были трехзначные номера. Коллеги подсказали что такого быть не должно. Просьба помочь с этим</p>;devops_support,devops_консультация
CRFLOMNIH-5205;2200. Выкладка дистрибутивов в бакеты S3;Средний;Закрыто;05.11.2025;29.10.2025;"<p>Получили письмо:<br />Информируем, что по Модулям поставки Q3-Q4 начат процесс выгрузки дистрибутивов и исходных кодов в S3 хранилище Иннотех.&nbsp;<br /><br />Срок выгрузки до 18.11.2025 г. По нашему стриму требуется это сделать до 13.11<br />&nbsp;<br />ТУЗы для выгрузки файлов в S3 и их Владельцы для текущей выгрузки не меняются.<br />Актуальная инструкция по выгрузке находится тут: https://confluence.inno.tech/pages/viewpage.action?pageId=331802681</p>
<p>&nbsp;</p>
<p>В инструкции есть ссылка на автоматизацию этого процесса через джобы: https://sfera.inno.local/knowledge/pages?id=1453904<br /><br />Как сообщил Михаил Регуш это происходит ежегодно для Архивации, были ли ранее созданы джобы или это происходило в ручном режиме? Можно ли создать для 2200 джобу по выгрузке этих дистрибутивов как написано в инструкции по автоматизации?</p>";devops_support,devops_консультация
CRFLOMNIC-2032;Добавить топики в 2199 ифт;Средний;Выполнено;28.10.2025;28.10.2025;"<p>Добрый день!&nbsp;</p>
<p>Просьба создать топики на ИФТ<br /><br /></p>
<p>int.ppcf.calculate-eir.c.v1</p>
<p>int.ppcf.calculate-eir-execution.c.v1</p>
<p>int.ppcf.calculate-eir-execution.c.v1-dlt</p>
<p>int.ppcf.calculate-eir-execution.c.v1-retry-1</p>
<p>int.ppcf.calculate-eir-execution.c.v1-retry-0<br /><br /></p>
<p>int.ppcf.calculate-fv.c.v1</p>
<p>int.ppcf.calculate-fv-execution.c.v1</p>
<p>int.ppcf.calculate-fv-execution.c.v1-dlt</p>
<p>int.ppcf.calculate-fv-execution.c.v1-retry-1</p>
<p>int.ppcf.calculate-fv-execution.c.v1-retry-0<br /><br /></p>
<p>cn APD00.00-2199-kafka-if-client-ppcf</p>";devops_support,devops_cloud_настройка
CRFLOMNID-2578;Консультация: Доступы для ТУЗ;Высокий;Закрыто;04.11.2025;29.10.2025;"<p>Подскажите как проверить все ли доступы активированы для ТУЗ ppcf_ift@tech.b2c.vtb.ru</p>
<p>&nbsp;</p>
<p>Столкнулись с проблемой:</p>
<p>При вызове ручки другой системы, получаем в ответ 403 fobidden, с телом в виде html.</p>
<p>&nbsp;</p>
<p>Т.Е. tyk мы проходим, но обваливаемся где-то в другом месте.</p>
<p>&nbsp;</p>
<p>Прошу связаться со мной для консультации</p>
<p>Завалин Олег Евгеньевич (4119662) - Команда</p>
<p>Zavalin@vtb.ru - почта</p>";devops_консультация,devops_support
CRFLOMNIH-5200;2200 ppea-admin-console-command редеплой не происходит для измененного Инвентори;Средний;Выполнено;29.10.2025;28.10.2025;"<p>Долились правки на CDL в частности для k3-t</p>
<p>https://sfera.test.vtb.ru/sourcecode/projects/PPEA_DEPLOY/repos/devops_msa_deploy_inventory/code/commits/commit/b52a4ac0f7274937eb91c8af2f4a65f84c23cb86/b52a4ac0f7274937eb91c8af2f4a65f84c23cb86/diff</p>
<p>&nbsp;</p>
<p>Ранее уже было сконфигурировано pullPolicy: Always</p>
<p>https://sfera.test.vtb.ru/sourcecode/projects/PPEA_DEPLOY/repos/devops_msa_deploy_inventory/code/browse/branch/delivery%2FreleaseCDL%2Frelease%2FRL-T1-113435/helmfile%2Fmodules%2Fppea-admin-console-command%2Fdefault%2Ftpl%2Fapp.yaml</p>
<p>&nbsp;</p>
<p>Но редеплой с новым Инвентори не произошел не смотря на успешный пайплайн</p>
<p>https://sfera.test.vtb.ru/orchestration2/dashboard/PPEA/project/57063577-83c3-424e-979d-c03a820d8354/builds/4569743</p>";devops_консультация,devops_support
CRFLOMNIL-2536;Не запускаются джобы в оркестрации 2 на CDL;Критический;Закрыто;28.10.2025;28.10.2025;<p>по истории выполнения джоб в repoCI видно, что проблема с 28.10.2025 с 6:15 утра - все автоматические джобы cdl_si_CASF падают с этого времени по таймауту.<br /><br />с другими джобами тоже самое, бесконечно висят в очереди</p>;devops_support
CRFLOMNIF-1303;Maven артефакт для yamp;Средний;Выполнено;28.10.2025;28.10.2025;"<p>Добрый день.</p>
<p>Нужна консультация на тему работы с yamp решениями: на примере casf-cod-processor, в сфере, в джобе build/buildRelease выполнены сборки, актульные версии 0.9.*.*, однако в maven репо таких версий нет. Какие шаги необходимо предпринять, чтобы выполнилась сборка maven артефактов последней версии?</p>";devops_support,devops_консультация,devops_cloud_настройка
CRFLOMNIF-1302;Ошибка Staging CDL;Средний;Выполнено;31.10.2025;28.10.2025;"<p>Добрый день. В связанных задачах изначальная проблема.<br />2198 casf, <strong>текущий</strong> лог во вложении.</p>
<p>В процессе стейджинга на контур <strong>CDL </strong>ошибка сверки хэш сумм по проблемным образам</p>";devops_support,devops_консультация,devops_cloud_настройка
CRFLOMNIG2-391;Ошибка при деплое crpr-change-condition-orchestrator на ИФТ;Средний;Выполнено;28.10.2025;27.10.2025;<p>Джоба деплоя: https://sfera.test.vtb.ru/orchestration3/dashboard/CRPR/project/fff73251-82aa-47e1-a5ca-e6f1553d66fa/builds/3627916</p>;devops_консультация,devops_support,devops_инфраструктура
CRFLOMNIL-2533;Консультация по настройке балансировщика на ПРОД;Высокий;Выполнено;28.10.2025;27.10.2025;"<p>Раскатили сервисы на ПРОД, но не можем достучаться до них снаружи.<br /><br /></p>
<p>В балансировщике адреса есть, некоторые горят зеленым.<br /><br />Просьба подключиться в онлайне посмотреть с сопровождением, в чем может быть проблема.&nbsp;</p>";devops_support
CRFLOMNIL-2532;КОПИЯ Не выполняется BuildTestScan;Высокий;Закрыто;27.10.2025;27.10.2025;<p>не выполняется BuildTestScan<br />https://sfera.inno.local/orchestration7/dashboard/PPCF/project/ff41f4c2-f57b-497d-9353-effc3f415255/builds/1192695</p>;devops_support,devops_консультация,devops_инструменты
CRFLOMNIH-5197;2200 Оркестрация 2 пайплайны тормозят;Средний;Закрыто;28.10.2025;28.10.2025;"<p>Пайплайны падают с ошибкой и тормозят</p>
<p>https://sfera.test.vtb.ru/orchestration2/dashboard/PPEA/project/28f47e81-7963-429f-a5a7-775a31bc71a6</p>
<p>&nbsp;</p>
<p>В очереди сборок много записей и долго висят&nbsp;<br />https://sfera.test.vtb.ru/orchestration2/buildsQueue</p>";devops_консультация,devops_support
CRFLOMNIF-1300;Ошибка Staging CDP;Средний;Закрыто;27.10.2025;27.10.2025;"<p>Добрый день. В связанных задачах оригинальная задача с первоночальным логом<br />2198 casf, новый лог во вложении.</p>
<p>В процессе стейджинга на контур <strong>CDP</strong> джобой тянутся артефакты, которые отсутствуют в виде maven артефактов, только docker образы (отделяемое решение от ИС 1875: <strong>casf-to-pdf</strong>, <strong>casf-doc-generation</strong>).<br />Джоба завершается с ошибкой.<br />Необходимо решение, которое позволит либо не учитывать такие сервисы в ходе стейджинга, либо зафиксировать схему, по которой эти сервисы возможно будет пронести в релизе, но без стейджинга</p>";devops_support,devops_консультация,devops_cloud_настройка
CRFLOMNIL-2531;Не выполняется BuildTestScan;Высокий;Выполнено;27.10.2025;27.10.2025;<p>не выполняется BuildTestScan<br />https://sfera.inno.local/orchestration7/dashboard/PPCF/project/ff41f4c2-f57b-497d-9353-effc3f415255/builds/1192695</p>;devops_support,devops_консультация,devops_инструменты
